abbr,id,group,criterion,act_rule,element_n,selector,accessible_name,src_or_href,programmatic_context,warning,outcome_TOFILL,justification_TOFILL
UCL,14,mundo,2.4.4,5effbb,10,div.spotlight > div.row > div.spotlight__content > a.link,Find out more,https://www.ucl.ac.uk/news/2026/jun/ucl-ranked-8th-best-univ,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,11,div.row > div.base-card > div.base-card__container > a.link,Novel treatment for motor neurone disease to be trialled in humans,https://www.ucl.ac.uk/news/2026/jul/novel-treatment-motor-ne,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,12,div.row > div.base-card > div.base-card__container > a.link,Solar windows could harvest energy from sun and indoor light,https://www.ucl.ac.uk/news/2026/jul/solar-windows-could-harv,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,13,div.row > div.base-card > div.base-card__container > a.link,CAR T-cell therapy shows early promise in severe lupus,https://www.ucl.ac.uk/news/2026/jun/car-t-cell-therapy-shows,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,14,div.row > div.card-link > div.card-link__content > a.link,More UCL research discoveries,https://www.ucl.ac.uk/research/research-news,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,15,div.spotlight > div.row > div.spotlight__content > a.link,Find out more,https://www.ucl.ac.uk/about/ucls-bicentenary,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,16,div.row > div.whats-on__header-container > div.whats-on__header > a.link,More public events,https://www.ucl.ac.uk/events/all-events,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,17,div.views-element-container > div.whats-on-item > div.whats-on-item__information > a.link,Saturday Studios in the Culture Lab,https://www.ucl.ac.uk/creative-cultural-industries/events/20,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,18,div.views-element-container > div.whats-on-item > div.whats-on-item__information > a.link,Two Centuries Here: The UCL200 exhibition,https://www.ucl.ac.uk/about/events/2026/feb/two-centuries-he,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,19,div.views-element-container > div.whats-on-item > div.whats-on-item__information > a.link,UCL200 Walking Tour,https://www.ucl.ac.uk/about/events/2026/mar/ucl200-walking-t,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,20,div.row > div.base-card > div.base-card__container > a.link,UCL academics elected as Fellows of the Academy of Social Sciences,https://www.ucl.ac.uk/news/2026/sep/ucl-academics-elected-fe,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,21,div.row > div.base-card > div.base-card__container > a.link,UCL academics awarded prestigious EU grants,https://www.ucl.ac.uk/news/2026/sep/ucl-academics-awarded-pr,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,22,div.row > div.base-card > div.base-card__container > a.link,UCL academics awarded Royal Society prizes,https://www.ucl.ac.uk/news/2026/aug/ucl-academics-awarded-ro,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,23,div.row > div.card-link > div.card-link__content > a.link,More about UCL community,https://www.ucl.ac.uk/about/our-people,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,24,div.highlight-block > div.base-card > div.base-card__container > a.link,Faces of UCL,https://www.ucl.ac.uk/about/ucls-bicentenary/faces-ucl-podca,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,25,div.highlight-block > div.base-card > div.base-card__container > a.link,The Bridge: A Disagreeing Well Podcast,https://www.ucl.ac.uk/about/disagreeing-well/the-bridge-podc,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,26,div.highlight-block > div.base-card > div.base-card__container > a.link,Disruptive Voices Podcast,https://www.ucl.ac.uk/research-innovation/grand-challenges/i,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,27,div.highlight-block > div.base-card > div.base-card__container > a.link,The Climate Podcast,https://www.ucl.ac.uk/research-innovation/themes/ucl-climate,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,28,div.field > div.oembed-lazyload > div.ucl-privacy-placeholder > a.ucl-consent-gate__link,Open YouTube content in new tab,https://www.youtube.com/watch?v=jxYFg3ygMgk,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,29,div.field > div.oembed-lazyload > div.ucl-privacy-placeholder > a.ucl-consent-gate__link,Open YouTube content in new tab,https://www.youtube.com/watch?v=fibAxF6t11o,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,30,div.row > div.pre-footer-card > div.pre-footer-card__container > a.link,Top 10 in the World,https://www.ucl.ac.uk/about/excellence-and-impact/rankings,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,31,div.row > div.pre-footer-card > div.pre-footer-card__container > a.link,1st in UK QS Sustainability,https://www.ucl.ac.uk/news/2025/nov/ucl-ranks-1st-uk-and-3rd,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,32,div.row > div.pre-footer-card > div.pre-footer-card__container > a.link,UCL in 2025,https://www.ucl.ac.uk/news/2025/dec/ucl-2025-year-review,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,33,div.footer__column > ul.menu > li.menu__item > a.menu__link,Bloomsbury Theatre and Studio,https://www.ucl.ac.uk/bloomsbury-theatre,Bloomsbury Theatre and Studio,,,
UCL,14,mundo,2.4.4,5effbb,34,div.footer__column > ul.menu > li.menu__item > a.menu__link,"Library, Museums and Collections",https://www.ucl.ac.uk/lccos/library-culture-collections-and-,"Library, Museums and Collections",,,
UCL,14,mundo,2.4.4,5effbb,35,div.footer__column > ul.menu > li.menu__item > a.menu__link,UCL Maps,https://www.ucl.ac.uk/maps,UCL Maps,,,
UCL,14,mundo,2.4.4,5effbb,36,div.footer__column > ul.menu > li.menu__item > a.menu__link,UCL Shop,https://studentsunionucl.org/shop,UCL Shop,,,
UCL,14,mundo,2.4.4,5effbb,37,div.footer__column > ul.menu > li.menu__item > a.menu__link,Contact UCL,https://www.ucl.ac.uk/about/contact-us,Contact UCL,,,
UCL,14,mundo,2.4.4,5effbb,38,div.footer__column > ul.menu > li.menu__item > a.menu__link,Accommodation,https://www.ucl.ac.uk/accommodation/,Accommodation,,,
UCL,14,mundo,2.4.4,5effbb,39,div.footer__column > ul.menu > li.menu__item > a.menu__link,Current Students,https://www.ucl.ac.uk/students/,Current Students,,,
UCL,14,mundo,2.4.4,5effbb,40,div.footer__column > ul.menu > li.menu__item > a.menu__link,Moodle,https://moodle.ucl.ac.uk/,Moodle,,,
UCL,14,mundo,2.4.4,5effbb,41,div.footer__column > ul.menu > li.menu__item > a.menu__link,Students' Union,https://studentsunionucl.org/,Students' Union,,,
UCL,14,mundo,2.4.4,5effbb,42,div.footer__column > ul.menu > li.menu__item > a.menu__link,Inside UCL,https://app.ucl.ac.uk/InsideUCL/,Inside UCL,,,
UCL,14,mundo,2.4.4,5effbb,43,div.footer__column > ul.menu > li.menu__item > a.menu__link,Staff Intranet,https://www.ucl.ac.uk/staff,Staff Intranet,,,
UCL,14,mundo,2.4.4,5effbb,44,div.footer__column > ul.menu > li.menu__item > a.menu__link,Work at UCL,https://www.ucl.ac.uk/work-at-ucl/,Work at UCL,,,
UCL,14,mundo,2.4.4,5effbb,45,div.footer__column > ul.menu > li.menu__item > a.menu__link,Human Resources,https://www.ucl.ac.uk/human-resources/,Human Resources,,,
UCL,14,mundo,2.4.4,5effbb,46,div.footer__information > address.footer__text > p.footer__paragraph > a.link,Telephone: +4 4 0 2 0 7 6 7 9 2 0 0 0,tel:+442076792000,Telephone: +44 (0) 20 7679 2000,,,
UCL,14,mundo,2.4.4,5effbb,47,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to Instagram,https://www.instagram.com/ucl/,Link to Instagram,,,
UCL,14,mundo,2.4.4,5effbb,48,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to LinkedIn,https://www.linkedin.com/school/university-college-london/,Link to LinkedIn,,,
UCL,14,mundo,2.4.4,5effbb,49,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to Youtube,https://www.youtube.com/ucltv,Link to Youtube,,,
UCL,14,mundo,2.4.4,5effbb,50,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to TikTok,https://www.tiktok.com/@uclofficial,Link to TikTok,,,
UCL,14,mundo,2.4.4,5effbb,51,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to Facebook,https://www.facebook.com/uclofficial,Link to Facebook,,,
UCL,14,mundo,2.4.4,5effbb,52,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to Bluesky,https://bsky.app/profile/ucl.ac.uk,Link to Bluesky,,,
UCL,14,mundo,2.4.4,5effbb,53,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to Threads,https://www.threads.com/@ucl,Link to Threads,,,
UCL,14,mundo,2.4.4,5effbb,54,div.social-menu > ul.social-menu > li.social-menu__item > a.social-menu__link,Link to Soundcloud,https://soundcloud.com/uclsound,Link to Soundcloud,,,
UCL,14,mundo,2.4.4,5effbb,55,footer.footer > div.container > div.footer__back-to-top > a.button,Back to top,#main-content,SIN CONTEXTO PROGRAMATICO,SIN CONTEXTO PROGRAMATICO,,
UCL,14,mundo,2.4.4,5effbb,56,div.footer__legal > ul.menu > li.menu__item > a.menu__link,Disclaimer,https://www.ucl.ac.uk/legal-services/disclaimer,Disclaimer,,,
UCL,14,mundo,2.4.4,5effbb,57,div.footer__legal > ul.menu > li.menu__item > a.menu__link,Freedom of Information,https://www.ucl.ac.uk/foi,Freedom of Information,,,
UCL,14,mundo,2.4.4,5effbb,58,div.footer__legal > ul.menu > li.menu__item > a.menu__link,Accessibility,https://www.ucl.ac.uk/accessibility,Accessibility,,,
UCL,14,mundo,2.4.4,5effbb,59,div.footer__legal > ul.menu > li.menu__item > a.menu__link,Cookies,https://www.ucl.ac.uk/home/cookies,Cookies,,,
UCL,14,mundo,2.4.4,5effbb,60,div.footer__legal > ul.menu > li.menu__item > a.menu__link,Privacy,https://www.ucl.ac.uk/legal-services/privacy,Privacy,,,
UCL,14,mundo,2.4.4,5effbb,61,div.footer__legal > ul.menu > li.menu__item > a.menu__link,Slavery statement,https://www.ucl.ac.uk/commercial-procurement/modern-day-slav,Slavery statement,,,
UCL,14,mundo,2.4.4,5effbb,62,div.footer__legal > ul.menu > li.menu__item > a.menu__link,Log in,/home/user/login,Log in,,,
UCL,14,mundo,2.4.4,5effbb,63,div.ucl-privacy-wrapper > div.ucl-privacy-banner__policy-section > p.ucl-privacy-banner__policy-inline > a.ucl-privacy-banner__policy-link,Open privacy policy in new tab: UCL privacy policy,https://www.ucl.ac.uk/legal-services/cookies,Privacy Policy: Learn more about how we handle your data and protect your privacy. UCL privacy policy,,,
UCL,14,mundo,2.4.4,fd3a94,10+15,div.spotlight > div.row > div.spotlight__content > a.link ; div.spotlight > div.row > div.spotlight__content > a.link,,,,,,
UCL,14,mundo,2.4.4,fd3a94,28+29,div.field > div.oembed-lazyload > div.ucl-privacy-placeholder > a.ucl-consent-gate__link ; div.field > div.oembed-lazyload > div.ucl-privacy-placeholder > a.ucl-consent-gate__link,,,,,,
Cornell,15,mundo,1.1.1,qt1vmo,10,div.marquee-mask > div.marquee > span.marquee-item > img.marquee-img,Matthew LeRoux talks with Bill Morse of Bottomland Farm at the East Hill Plaza Farmers’ Market.,mm.cornell.edu/photos/1280x720/441AEF88-CCD8-94A0-29118F715FF67A86.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,11,div.slide-mask > div.slideshow > a.grid-box > img.image-replace,Gautam Hans and Laura Riley.,omm.cornell.edu/photos/400x225/AE87A46B-F8D9-E3EE-7CEDF61EDF369CF1.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,12,div.slide-mask > div.slideshow > a.grid-box > img.image-replace,Visitors learning about birds at Migration Celebration.,omm.cornell.edu/photos/400x225/B0530151-A738-F9C9-6EC9481FD6F8CA01.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,23,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,"Cornell's Song of the Vowels statue, as seen through leafty trees with students walking along a path on the Cornell Arts",omm.cornell.edu/photos/360x360/073D2BCF-C7D7-34E9-3C24C512A67D0FAE.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,24,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,"A crowded lecture hall at Cornell University, with students paying close attention.",omm.cornell.edu/photos/360x360/074CA0F2-9EBB-5861-8946B5E244D81EA5.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,25,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,Cornellians attend class outside and are sitting in a circle. One individual in the middle is talking. A laptop can be s,omm.cornell.edu/photos/360x360/07591FDC-A274-7AFC-5429233D3D4BBE0E.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,26,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,"Cornellians walk along a path near Cornell's Ho Plaza, with Cornell's McGraw Tower seen in the distance.",omm.cornell.edu/photos/400x225/0767B630-A2F8-F79E-F984B5500B3DEE26.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,27,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,"Cornellians walk to class on a well-lit Cornell Arts Quad, with Cornell's Goldwin Smith Hall seen in the distance. A pro",omm.cornell.edu/photos/400x225/098C4C82-B343-E263-95549D1E187983DC.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,28,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,"As seen through flowering bushes, Cornellians walk along a path near the Cornell University College of Veterinary Medici",omm.cornell.edu/photos/360x360/08D506DA-B0CC-69E0-70F2971735C1E0E7.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,29,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,"A Cornellian sits on the stairs in front of Cornell's Bailey Hall, holding a clipboard while writing.",omm.cornell.edu/photos/360x360/078CAE08-E985-6ADA-5820E075329494FE.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,30,a.socialmedia-grid-link > div.socialmedia-grid > div.socialmedia-item > img,"A Cornell student and a Cornell professor are in deep conversation, discussing a satellite array that can be seen behind",omm.cornell.edu/photos/360x360/097B30A0-9244-E7CE-CAC72FE8C536E5BC.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,31,#campaignCoverImg,Ezra Cornell statue imposed over a red background in front of a large floating letter C (for Cornell). Text in the backg,https://www.cornell.edu/assets/images/campaign/ezra.jpg,,,,
Cornell,15,mundo,1.1.1,qt1vmo,32,li.ftr-item > div.ftr-item-campaign > a > img,To do he greatest good: The Campaign for Cornell University,https://media.univcomm.cornell.edu/photos/campaign/TDTGG.png,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,2,div.news-callout > div.wrap > div.image > img,The Garage,https://www.northwestern.edu/images/news/2026/garage670.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,3,div.swiper-wrapper > div.swiper-slide > a > img,Lab work,https://www.northwestern.edu/images/news/2026/fossils550.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,4,div.swiper-wrapper > div.swiper-slide > a > img,The Q,https://www.northwestern.edu/images/news/2026/nylanova550.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,5,div.swiper-wrapper > div.swiper-slide > a > img,Laptop,https://www.northwestern.edu/images/news/2026/hiring550.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,6,div.swiper-wrapper > div.swiper-slide > a > img,Child,https://www.northwestern.edu/images/news/2026/autism550.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,7,div.swiper-wrapper > div.swiper-slide > a > img,Campus Reading Program,https://www.northwestern.edu/images/news/2026/vigil550.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,8,div.swiper-wrapper > div.swiper-slide > a > img,Thriving Planet,https://www.northwestern.edu/images/news/2026/tpi550.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,13,div.swiper-wrapper > div.swiper-slide > a > img,purple gloved hands pouring a solution into a glass bottle,western.edu/images/homepage/priorities/advance_the_biosciences_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,14,div.swiper-wrapper > div.swiper-slide > a > img,two students studying looking at a laptop screen,www.northwestern.edu/images/homepage/priorities/data_analytics_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,15,div.swiper-wrapper > div.swiper-slide > a > img,four students in a classroom working together,.edu/images/homepage/priorities/social_sciences_global_studies_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,16,div.swiper-wrapper > div.swiper-slide > a > img,solar farm with solar panels,www.northwestern.edu/images/homepage/priorities/sustainability_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,17,div.swiper-wrapper > div.swiper-slide > a > img,"orchestra performing with conductor, string instruments",estern.edu/images/homepage/priorities/creative_performing_arts_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,18,div.swiper-wrapper > div.swiper-slide > a > img,professor teaching a class,/images/homepage/priorities/outstanding_educational_experience_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,19,div.swiper-wrapper > div.swiper-slide > a > img,two women talking,rthwestern.edu/images/homepage/priorities/investment_employees_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,20,div.swiper-wrapper > div.swiper-slide > a > img,students sitting outside on lawn chairs,northwestern.edu/images/homepage/priorities/resilient_students_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,21,div.swiper-wrapper > div.swiper-slide > a > img,students talking in a party,mages/homepage/priorities/promote_access_opportunity_diversity_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,22,div.swiper-wrapper > div.swiper-slide > a > img,four individuals from various NU departments talking on stage,ww.northwestern.edu/images/homepage/priorities/free_expression_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,23,div.swiper-wrapper > div.swiper-slide > a > img,student athletes running on a soccer field,ges/homepage/priorities/enhance_the_student_athlete_experience_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,24,div.swiper-slide > div.wrap > div.image > img,Northwestern soccer players Nigel Prince and Reesebl Mayer in black jerseys,homepage/explore/student_athletes_nigel_prince_and_reese_mayer_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,25,div.swiper-slide > div.wrap > div.image > img,a group of students  in front of Norris University Center smiling and cheering,https://www.northwestern.edu/images/homepage/explore/norris_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,26,div.swiper-slide > div.wrap > div.image > img,people preparing colorful sailboats on a sandy beach.,://www.northwestern.edu/images/homepage/explore/sailing_center_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,27,div.swiper-slide > div.wrap > div.image > img,"Greta Lee with dark hair and colorful makeup leans on her hands, framed by a vintage puppet theater.",/www.northwestern.edu/images/homepage/explore/alumna_greta_lee_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,28,div.swiper-slide > div.wrap > div.image > img,students dancing in 2024 Dance Marathon,://www.northwestern.edu/images/homepage/explore/dance_marathon_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,29,div.swiper-slide > div.wrap > div.image > img,lecture in the Block Museum of Art,ww.northwestern.edu/images/homepage/explore/block_museum_of_art_2.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,30,div.swiper-slide > div.wrap > div.image > img,Andrew Papachristos standing with arms crossed in front of a map,tern.edu/images/homepage/explore/professor_andrew_papachristos_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,31,div.swiper-slide > div.wrap > div.image > img,two students smiling,northwestern.edu/images/homepage/explore/march_through_he_arch_1x.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,32,div.swiper-slide > div.wrap > div.image > img,two people in a room with a green screen. One wears a VR headset; the other holds a cable.,//www.northwestern.edu/images/homepage/explore/the_garage_600x400.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,33,section > div.social-media-cards > a.card > img,students being photographed holding up a first day of class sign,thwestern.edu/images/homepage/social/instagram-first-day-of-class.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,34,section > div.social-media-cards > a.card > img,students forming the Northwestern N and 2028 on a playing field,/www.northwestern.edu/images/homepage/social/facebook-class-photo.webp,,,,
Northwestern,29,mundo,1.1.1,qt1vmo,35,section > div.social-media-cards > a.card > img,lab worker handling a human brain,/www.northwestern.edu/images/homepage/social/linkedin-super-agers.webp,,,,
HKUST,58,mundo,1.1.1,qt1vmo,1,div.header__wrapper > div.header__logo > div.field > img,HKUST 35A,t/files/2026-01/Standard%2035A%20Logo%20-%20FC%20%28B%29%20English.png,,,,
HKUST,58,mundo,1.1.1,qt1vmo,2,div.header__wrapper > div.header__logo > div.field > img,HKUST 35A,t/files/2026-01/Standard%2035A%20Logo%20-%20FC%20%28B%29%20English.png,,,,
HKUST,58,mundo,1.1.1,qt1vmo,3,div.header__wrapper > div.header__logo > div.field > img,HKUST 35A,t/files/2026-01/Standard%2035A%20Logo%20-%20FC%20%28W%29%20English.png,,,,
HKUST,58,mundo,1.1.1,qt1vmo,4,div.header__wrapper > div.header__logo > div.field > img,HKUST 35A,t/files/2026-01/Standard%2035A%20Logo%20-%20FC%20%28W%29%20English.png,,,,
HKUST,58,mundo,1.1.1,qt1vmo,12,div.home-slider__slide > div.home-slider__slide--background > picture > img,HKUST 35A KV,hkust.edu.hk/sites/default/files/2026-07/GECO_35A_KV%20banner02-01.jpg,,,,
HKUST,58,mundo,1.1.1,qt1vmo,13,div.home-slider__slide > div.home-slider__slide--background > picture > img,"Prof. Bert SHI, Antonino COSTA and Jeff KWAN",https://hkust.edu.hk/sites/default/files/2026-09/HKPFS%20-%20EN.jpg,,,,
