id,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto
23,Ecuador,UPSE,EC,https://www.upse.edu.ec,true,,UPSE,es-es,1,1,2,0,,,0,3,7,1,6,0,4,2,0,1,ninguno
24,Ecuador,ULEAM,EC,https://www.uleam.edu.ec,true,,ULEAM,es,1,1,4,4,_gid _gat_gtag_UA_81009815_1 _ga_12F9F68E6S _ga,,0,8,36,20,7,9,18,8,0,10,ninguno
25,Ecuador,UNACH,EC,https://www.unach.edu.ec,true,,Inicio » Universidad Nacional de Chimborazo,es-CO,1,1,5,4,_gid _gat_gtag_UA_133447811_1 _ga_YQBSJ5PHNG _ga,,0,6,30,10,18,2,9,21,0,0,ninguno
26,Ecuador,UNAE,EC,https://unae.edu.ec,true,,UNAE,es-ES,1,1,12,7,_ga_5FWX93M6TG YSC VISITOR_INFO1_LIVE _gid _gat_gtag_UA_154339291_1 _ga_R13W2764LB _ga,,0,3,14,1,10,3,13,1,0,0,ninguno
27,Ecuador,UPEC,EC,https://upec.edu.ec,true,,UPEC,es,1,1,11,0,,,0,3,30,10,20,0,20,7,0,3,ninguno
28,Ecuador,Yachay Tech,EC,https://yachaytech.edu.ec,true,,Universidad YachayTech – Hacemos ciencia y tecnología,es-EC,1,1,1,0,,,0,5,31,16,1,14,14,12,0,5,ninguno
29,Ecuador,Ikiam,EC,https://www.ikiam.edu.ec,true,,Universidad Regional Amazónica Ikiam,es,1,1,2,2,_ga_HFS94B3LXM _ga,,0,3,41,14,24,3,27,14,0,0,ninguno
30,Ecuador,UArtes,EC,https://www.uartes.edu.ec,true,,Universidad de las Artes - Universidad de las Artes,es-ES,1,1,2,2,_ga_8044E6TKJB _ga,CookieYes,0,5,45,12,19,14,27,18,0,0,ninguno
31,Ecuador,Amawtay Wasi,EC,https://uaw.edu.ec,true,,Inicio UAW - Universidad Amawtay Wasi,es,1,1,2,0,,,0,4,30,3,24,3,29,1,0,0,ninguno
32,Ecuador,USECIPOL,EC,https://usecipol.edu.ec,true,,USECIPOL | Universidad de Seguridad Ciudadana y Ciencias Policiales,es,1,1,0,0,,,0,1,4,0,0,4,4,0,0,0,AA
33,Ecuador,IAEN,EC,https://www.iaen.edu.ec,true,,INICIO - Universidad de Posgrado del Estado,es,1,1,6,2,YSC VISITOR_INFO1_LIVE,,0,3,5,2,1,2,3,0,0,2,ninguno
34,Ecuador,UASB,EC,https://www.uasb.edu.ec,true,,Universidad Andina Simón Bolívar - Bienvenidos al nuevo portal,es,1,1,80,17,pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _gcl_au _ga_8G7C03T250 _ttp _gid _gat_gtag_UA_64150728_1 _ga_T68NNTWDMD _ga personalization_id _tt_enable_cookie _ttp IDE,IAB-TCF,1,6,41,30,8,3,23,14,0,4,ninguno
35,Ecuador,FLACSO,EC,https://www.flacso.edu.ec,true,,Inicio | FLACSO Ecuador :: Universidad Latinoamericana de Postgrado Líder en Ciencias Sociales,es,1,1,1,0,,CookieYes,0,3,38,21,17,0,18,20,0,0,ninguno
36,Ecuador,PUCE,EC,https://www.puce.edu.ec,true,,"Carreras universitarias en Quito, Ecuador | PUCE 80 años",es,1,1,30,15,_ttp _tt_enable_cookie _ttp _ga _ga_H8JQ0KWN0K _fbp _gcl_au _ga_1TG94HC9HF _clck test_cookie _clsk _hjSessionUser_4991704 _hjSession_4991704 MUID MUID,,0,5,31,12,12,7,15,16,0,0,ninguno
37,Ecuador,UCSG,EC,https://www.ucsg.edu.ec,true,,UCSG – Universidad Católica de Santiago de Guayaquil,es,1,1,14,3,_ga_Z1DV026L7M _ga _fbp,Complianz,1,4,10,7,2,1,2,8,0,0,ninguno
38,Ecuador,UCACUE,EC,https://www.ucacue.edu.ec,true,,Universidad Católica de Cuenca - UCACUE - Universidad Católica de Cuenca,es,1,1,24,14,_ttp _ga_MSV6X9XSF1 _ga _tt_enable_cookie _ttp pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _clck _clsk MUID,,1,6,38,16,5,17,17,10,0,11,ninguno
39,Ecuador,ULVR,EC,https://www.ulvr.edu.ec,true,,ULVR – Universidad Laica Vicente Rocafuerte de Guayaquil,es,1,1,1,0,,,0,2,13,11,2,0,2,11,0,0,ninguno
40,Ecuador,UTPL,EC,https://www.utpl.edu.ec,true,,¿Qué programas hay en la UTPL?,es,1,1,6,5,_ga_5W6THEE90T _ga _fbp _clck _clsk,,0,6,35,9,1,25,30,3,0,2,ninguno
41,Ecuador,UTE,EC,https://ute.edu.ec,true,,"Universidad UTE - La mejor Universidad del Ecuador | Posgrado, Grado, ...",es,1,1,0,0,,,0,3,29,9,5,15,20,9,0,0,ninguno
42,Ecuador,UDA,EC,https://www.uazuay.edu.ec,true,,Universidad del Azuay,es,1,1,2,2,_hjSessionUser_3811066 _hjSession_3811066,,1,4,31,13,12,6,19,12,0,0,ninguno
43,Ecuador,UPS,EC,https://www.ups.edu.ec,true,,Universidad Politécnica Salesiana | UPS Ecuador - UPS,es-ES,1,1,116,16,_gid _gat YSC VISITOR_INFO1_LIVE _gcl_au _clck _ttp _ga_G3SXTJRVXE _ga _tt_enable_cookie _ttp _clsk _fbp MUID IDE MUID,,0,4,10,10,0,0,5,2,0,3,ninguno
44,Ecuador,UISEK,EC,https://uisek.edu.ec,true,,UISEK - Ecuador,es,1,1,21,12,_ttp _tt_enable_cookie _ttp _gid _gat_UA-27018080-1 _gat_gtag_UA_120295323_1 _ga_XJR5CJJLR4 _ga _ga_ES4V2WR0X1 _gcl_au _fbp test_cookie,,0,5,28,18,10,0,11,11,0,6,ninguno
45,Ecuador,UEES,EC,https://uees.edu.ec,true,,UEES - Universidad Espíritu Santo - Ecuador,es-EC,1,1,39,19,YSC VISITOR_INFO1_LIVE _gcl_au _ttp _ga_RG4RVWE64Q _gid _gat_UA-172180399-2 _gat_UA-217409406-3 personalization_id IDE _tt_enable_cookie _ttp _ga_T4TERSTX4G _ga _clck _fbp _clsk _ga_STV75W996F _ga_KMEPWM9403,,0,4,30,6,8,16,25,5,0,0,ninguno
46,Ecuador,USFQ,EC,https://www.usfq.edu.ec,true,,Inicio | Universidad San Francisco de Quito - Ecuador,es,1,1,3,3,_ga_G80CBJM3N2 _ga _fbp,,0,6,54,4,16,34,51,2,0,1,ninguno
47,Ecuador,UDLA,EC,https://www.udla.edu.ec,true,,"UDLA | Educación Superior de calidad en Quito, Ecuador | UDLA",es,1,1,12,0,,Cookiebot IAB-TCF,1,6,53,14,7,32,40,6,0,7,ninguno
48,Ecuador,UIDE,EC,https://www.uide.edu.ec,true,,Universidad Internacional del Ecuador,es,1,1,24,7,_pin_unauth _uetsid _uetvid MUID _clck _clsk MUID,CookieYes,1,10,45,30,12,3,8,21,0,16,ninguno
49,Ecuador,UNIANDES,EC,https://www.uniandes.edu.ec,true,,Uniandes | Universidad Regional Autónoma de los Andes,es,1,1,0,0,,,0,4,22,7,15,0,11,9,0,2,ninguno
50,Ecuador,UPACÍFICO,EC,https://upacifico.edu.ec,true,,UPACIFICO Ecuador. Formación Universitaria de calidad,es,1,1,5,4,_gcl_au _ga_4DXVYNQP5Y _ga test_cookie,,0,2,25,4,21,0,21,4,0,0,ninguno
51,Ecuador,UTI,EC,https://www.indoamerica.edu.ec,true,,"Universidad Indoamérica | Carreras, Posgrados e Innovación EducativaPostula a nuestras carreras de grado y programas de posgrado -",es,1,1,27,19,_ttp pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _gcl_au _ga_0G8LBGW2QF _ga_TY4XSDKKNQ _ga_WHTF7DF7Q5 _ga _gid _gat_gtag_UA_245920016_1 test_cookie _tt_enable_cookie _ttp _hjSessionUser_3201143 _hjSession_3201143,,0,5,20,9,10,1,8,12,0,0,ninguno
52,Ecuador,Casa Grande,EC,https://www.casagrande.edu.ec,true,,Inicio | Universidad Casa Grande,es,1,1,6,5,_gcl_au _ga_9X04C12TB4 _ga _fbp test_cookie,,0,1,10,0,0,10,10,0,0,0,AA
53,Ecuador,UTEG,EC,https://www.uteg.edu.ec,true,,Universidad Tecnológica Empresarial de Guayaquil | UTEG,es-ES,1,1,28,11,pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page YSC VISITOR_INFO1_LIVE _fbp _ttp _tt_enable_cookie _ttp,CookieScript,1,7,34,16,9,9,24,9,0,1,ninguno
54,Ecuador,UISRAEL,EC,https://www.uisrael.edu.ec,true,,UISRAEL – Universidad Tecnológica Israel,es,1,1,15,10,pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _ga_V27RS2GGDQ _ga _gcl_au test_cookie,Complianz,1,6,78,16,47,15,68,9,0,1,ninguno
55,Ecuador,UDET,EC,https://www.udet.edu.ec,true,,INICIO - UDET,es,1,1,5,5,_ga_XNE2Q2CKBY _gid _gat_gtag_UA_214964925_1 _ga_EJ3V1JB3S2 _ga,,0,6,36,15,8,13,21,11,0,4,ninguno
56,Ecuador,UMET,EC,https://umet.edu.ec,true,,Universidad Metropolitana • Universidad Metropolitana,es-EC,1,1,11,5,_gcl_au _ga _ga_2J1L9P1VMY test_cookie _fbp,,0,3,18,1,11,6,17,1,0,0,ninguno
57,Ecuador,U. Otavalo,EC,https://www.uotavalo.edu.ec,true,,Universidad de Otavalo,es,1,1,2,0,,,1,2,8,2,0,6,6,0,0,2,ninguno
58,Ecuador,USGP,EC,https://www.sangregorio.edu.ec,true,,Universidad San Gregorio de Portoviejo,es,1,1,19,7,_ttp YSC VISITOR_INFO1_LIVE _tt_enable_cookie _ttp _gcl_au test_cookie,,0,9,34,12,11,11,22,8,0,4,ninguno
59,Ecuador,U. Hemisferios,EC,https://www.uhemisferios.edu.ec,true,,UHE | Carreras presenciales y online | Quito,es,1,1,24,9,_ga_ZFRLYLC1Y6 _ga _gid _gat_UA-134045233-1 _fbp _gcl_au test_cookie YSC VISITOR_INFO1_LIVE,CookieYes,1,5,77,54,12,11,23,53,0,1,ninguno
60,Ecuador,UNIB.E,EC,https://unibe.edu.ec,true,,UNIB.E,es,1,1,0,0,,,0,4,16,9,7,0,7,5,0,4,ninguno
61,Ecuador,ECOTEC,EC,https://ecotec.edu.ec,true,,"Universidad en Ecuador — Grado, Posgrado y Online | ECOTEC",es-EC,1,1,5,4,_gcl_au test_cookie _ga_MFVR4S8MFR _ga,Complianz,1,2,33,0,6,27,33,0,0,0,A
62,Ecuador,UDR,EC,https://udr.edu.ec,true,,Universidad Del Río,es-ES,1,1,4,4,_ga_5HXBYBZBNB _ga _ga_8F7QTS9R25 _ga_WQNLTBSK8V,,0,2,24,15,9,0,0,24,0,0,ninguno
63,Ecuador,UBE,EC,https://ube.edu.ec,true,,Inicio - UBE,en,1,1,1,0,,,1,5,35,10,10,15,29,5,0,1,ninguno
64,Mundo,MIT,EE.UU.,https://www.mit.edu,true,,MIT - Massachusetts Institute of Technology,en,1,1,0,0,,,0,3,8,1,6,1,1,6,0,1,ninguno
65,Mundo,Stanford,EE.UU.,https://www.stanford.edu,true,,Stanford University,en,1,1,10,4,YSC VISITOR_INFO1_LIVE _ga_Q0JD4PHRZ7 _ga,,0,1,11,0,0,11,11,0,0,0,AA
66,Mundo,Harvard,EE.UU.,https://www.harvard.edu,true,,Harvard University,en-US,1,1,8,5,_gid _gat_UA-2923555-1 _ga_KBLBYHG5EP _ga _fbp,,0,2,13,0,3,10,13,0,0,0,A
67,Mundo,Oxford,Reino Unido,https://www.ox.ac.uk,true,,University of Oxford,en,1,1,6,2,YSC VISITOR_INFO1_LIVE,,1,0,0,0,0,0,0,0,0,0,AAA
68,Mundo,Cambridge,Reino Unido,https://www.cam.ac.uk,true,,University of Cambridge,en,1,1,0,0,,,1,2,6,5,0,1,6,0,0,0,ninguno
69,Mundo,Caltech,EE.UU.,https://www.caltech.edu,true,,Home - www.caltech.edu,en,1,1,4,2,_ga_7RL83EX4D4 _ga,,0,4,30,5,0,25,28,0,0,2,ninguno
70,Mundo,UC Berkeley,EE.UU.,https://www.berkeley.edu,true,,"University of California, Berkeley: Home",en-US,1,1,10,5,YSC VISITOR_INFO1_LIVE nmstat _ga_JD06GX6S4V _ga,,0,0,0,0,0,0,0,0,0,0,AAA
71,Mundo,Princeton,EE.UU.,https://www.princeton.edu,true,,Home | Princeton University,en,1,1,2,2,_ga_92L6B9PQCG _ga,,0,0,0,0,0,0,0,0,0,0,AAA
72,Mundo,Imperial,Reino Unido,https://www.imperial.ac.uk,true,,Imperial College London,en-GB,1,1,6,0,,OneTrust,1,2,19,0,15,4,4,15,0,0,A
73,Mundo,U Chicago,EE.UU.,https://www.uchicago.edu,true,,The University of Chicago,en,1,1,19,9,_gid _gat_UA-373360-31 _gat_UA-3572058-26 _ga_2V4M4Z833J _ga _ga_DBDWJCS0JR _hjSessionUser_3545609 _hjSession_3545609 nmstat,,0,1,1,1,0,0,0,0,0,1,ninguno
74,Mundo,ETH Zurich,Suiza,https://ethz.ch,true,,ETH Zürich - Homepage | ETH Zürich,de,1,1,1,0,,OneTrust,1,2,2,1,0,1,2,0,0,0,ninguno
75,Mundo,Yale,EE.UU.,https://www.yale.edu,true,,Yale University,en,1,1,7,6,nmstat _ga _gid _gat_gtag_UA_991898_23 _ga_D491W728G4 _ga,,0,2,17,3,0,14,17,0,0,0,ninguno
76,Mundo,UPenn,EE.UU.,https://www.upenn.edu,true,,University of Pennsylvania,en,1,1,4,4,_gid _gat_UA-78054-1 _ga _ga_LL85393RFV,,0,2,4,1,0,3,4,0,0,0,ninguno
77,Mundo,UCL,Reino Unido,https://www.ucl.ac.uk,true,,Welcome to UCL | University College London,en,1,1,2,0,,,1,0,0,0,0,0,0,0,0,0,AAA
78,Mundo,Cornell,EE.UU.,https://www.cornell.edu,true,,Cornell University,en,1,1,9,9,__utma __utmc __utmz __utmt __utmb _ga_PMZ19X3F8W _ga _ga_XJK3YSJ0LV nmstat,,0,2,6,1,0,5,5,0,0,1,ninguno
79,Mundo,Tsinghua,China,https://www.tsinghua.edu.cn/en/,true,,Tsinghua University,,1,1,1,0,,,0,10,49,39,6,4,11,32,1,5,ninguno
80,Mundo,Peking,China,https://english.pku.edu.cn,true,,Peking University,,1,1,0,0,,,0,5,19,18,1,0,2,14,1,2,ninguno
81,Mundo,Johns Hopkins,EE.UU.,https://www.jhu.edu,true,,Johns Hopkins University,en,1,1,12,5,nmstat personalization_id _ga_8031WYVC9V _ga _ga_TSX9K66082,,0,3,7,5,0,2,3,4,0,0,ninguno
82,Mundo,Columbia,EE.UU.,https://www.columbia.edu,true,,Columbia University in the City of New York,en,1,1,15,6,YSC VISITOR_INFO1_LIVE _gid _gat_gtag_UA_18290390_1 _ga_09H1KYXPLX _ga,,1,4,52,2,6,44,51,0,0,1,ninguno
83,Mundo,Toronto,Canadá,https://www.utoronto.ca,true,,University of Toronto,en,1,1,12,8,_gcl_au _ga _ga_0X74MN6XS3 _clck IDE _clsk MUID MUID,,0,1,19,0,0,19,19,0,0,0,AA
84,Mundo,UCLA,EE.UU.,https://www.ucla.edu,true,,A World Leader in Education and Research Excellence | UCLA,en,1,1,9,4,YSC VISITOR_INFO1_LIVE _ga_6BMZK7EYHE _ga,,0,1,64,0,0,64,64,0,0,0,AA
85,Mundo,NUS,Singapur,https://nus.edu.sg,true,,NUS - National University of Singapore,,1,1,7,2,_ga_2T8KTSDET6 _ga,,1,7,60,24,21,15,36,23,1,0,ninguno
86,Mundo,U Tokyo,Japón,https://www.u-tokyo.ac.jp/en/,true,,The University of Tokyo,en,1,1,2,2,_ga_DWSZ09TFCH _ga,,0,8,28,11,6,11,15,3,0,10,ninguno
87,Mundo,TUM,Alemania,https://www.tum.de/en/,true,,Technical University of Munich: The Entrepreneurial University - TUM,en-US,1,1,0,0,,,0,1,23,0,0,23,23,0,0,0,AA
88,Mundo,Melbourne,Australia,https://www.unimelb.edu.au,true,,The University of Melbourne - Australia's #1 Ranked University,en,1,1,39,15,utag_main__ss utag_main__st utag_main_ses_id s_nr30 s_tslv s_inv s_ips s_tp s_ppv utag_main_v_id _ga_L55G410M0Q AMCV_0BFB1E5866E1D2E70A495C3B%40AdobeOrg _ga_YE8SEG9T0S _ga_J6RRCK6F9V _ga,,1,1,1,1,0,0,1,0,0,0,ninguno
89,Mundo,Edinburgh,Reino Unido,https://www.ed.ac.uk,true,,The University of Edinburgh,en,1,1,0,0,,,0,2,37,1,0,36,37,0,0,0,ninguno
90,Mundo,EPFL,Suiza,https://www.epfl.ch/en/,true,,EPFL,en-GB,1,1,2,2,_ga_N6BF9H5G73 _ga,,1,3,101,1,85,15,100,1,0,0,ninguno
91,Mundo,Michigan,EE.UU.,https://umich.edu,true,,University of Michigan,en,1,1,4,2,_ga_29C4RBNCNZ _ga,,0,2,13,0,5,8,8,5,0,0,A
92,Mundo,Northwestern,EE.UU.,https://www.northwestern.edu,true,,Northwestern University,en,1,1,9,0,,CookieYes,1,0,0,0,0,0,0,0,0,0,AAA
93,Mundo,Fudan,China,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,6,44,18,3,23,40,3,1,0,ninguno
94,Mundo,PSL,Francia,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,,,1,5,25,8,12,5,16,8,0,1,ninguno
95,Mundo,HKU,Hong Kong,https://www.hku.hk,true,,The University of Hong Kong (HKU),en,1,1,10,9,__utma __utmc __utmz __utmt __utmb _ga_ZHLLDTLTMG _ga _hjSessionUser_1966860 _hjSession_1966860,,0,8,27,13,14,0,15,1,0,11,ninguno
96,Mundo,Zhejiang,China,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,,,0,3,14,13,1,0,2,12,0,0,ninguno
97,Mundo,NYU,EE.UU.,https://www.nyu.edu,true,,New York University,en,1,1,11,9,_gcl_au IDE _ga_S194DLZYBD _ga _ga_9CWXCZX89G _ga_H4KKXQKFSM _ga_VR2BFTJ92R _ga_S4TP6272FF _ga_YKLBDQJ61W,Osano,1,1,2,0,0,2,2,0,0,0,AA
98,Mundo,SJTU,China,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,3,3,_pk_testcookie.299.e5ac _pk_id.299.e5ac _pk_ses.299.e5ac,,0,5,48,5,5,38,47,0,0,1,ninguno
99,Mundo,KCL,Reino Unido,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,,OneTrust,1,2,41,1,0,40,40,0,0,1,ninguno
100,Mundo,UCSD,EE.UU.,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,26,11,_ttp YSC VISITOR_INFO1_LIVE _ga_ZBPHLZYTS4 _ga _gcl_au _tt_enable_cookie _ttp test_cookie _hjSessionUser_3662797 _hjSession_3662797,,0,3,44,2,7,35,35,7,0,2,ninguno
101,Mundo,LMU,Alemania,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,,,0,1,9,0,0,9,9,0,0,0,AA
102,Mundo,Duke,EE.UU.,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,17,11,YSC VISITOR_INFO1_LIVE __utma __utmc __utmz __utmt_UA-3896341-5 __utmb _ga _ga_EFHNRXCSHV _clck _clsk,,1,1,7,0,0,7,7,0,0,0,AA
103,Mundo,Manchester,Reino Unido,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,20,5,_gcl_au _ttp test_cookie YSC VISITOR_INFO1_LIVE,OneTrust,0,0,0,0,0,0,0,0,0,0,AAA
104,Mundo,UBC,Canadá,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,12,4,_gcl_au _ga_Q74JQJCYJK _ga IDE,,0,2,18,0,5,13,13,5,0,0,A
105,Mundo,Sydney,Australia,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,67,22,s_ecid _gcl_au _ga_KXYY9PEVLH _ga AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg _ttp IDE mbox _tt_enable_cookie _ttp s_ips s_ppv _fbp _hjSessionUser_550296 _hjSession_550296 s_cc Hm_lvt_1426d6da699eb30a7515d65930a0dbff Hm_lpvt_1426d6da699eb30a7515d65930a0dbff HMACCOUNT s_tp YSC VISITOR_INFO1_LIVE,,0,3,15,1,1,13,14,1,0,0,ninguno
106,Mundo,Paris-Saclay,Francia,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,2,0,,Tarteaucitron,1,2,8,1,0,7,7,0,0,1,ninguno
107,Mundo,Kyoto,Japón,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,_ga_P51JW1MC7Y _ga,,0,2,5,0,5,0,1,4,0,0,A
108,Mundo,Illinois,EE.UU.,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,_ga_TWFEJJKL35 _ga,OneTrust,0,1,9,0,0,9,9,0,0,0,AA
109,Mundo,UT Austin,EE.UU.,https://www.utexas.edu,true,,The University of Texas at Austin,en,1,1,17,9,_gid _gat_UA-11887171-8 _gat_UA-11887171-2 _ga_PTWC4TZX3W _ga _ga_EVFNF1Z4Q4 _ga_X3HZEK54PC _ga_4W6P6NJBBS _clck,,0,1,25,0,0,25,25,0,0,0,AA
110,Mundo,UW,EE.UU.,https://www.washington.edu,true,,UW Homepage,en,1,1,43,10,_gcl_au _ga _ga_3T65WK0BM8 _ga_JLHM9WH4JV _clck IDE nmstat test_cookie _fbp _clsk,,0,3,11,1,7,3,3,7,0,1,ninguno
111,Mundo,NTU,Singapur,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,12,9,_gcl_au _ttp _ga _ga_8LPDJ1LB78 IDE _ga_DWDBVB5J8J _ga_PWNJKZG9MN _ga_DX9Q4KPWT3 _ga_NP4QFYPSX6,,1,4,17,7,3,7,8,9,0,0,ninguno
112,Mundo,McGill,Canadá,https://www.mcgill.ca,true,,Azure WAF,,1,1,0,0,,,0,3,3,2,1,0,2,0,1,0,ninguno
113,Mundo,CUHK,Hong Kong,https://www.cuhk.edu.hk/english/index.html,true,,The Chinese University of Hong Kong,en,1,1,19,10,__utma __utmc __utmz __utmt __utmb _ga _ga_3VWFFZCDJ6 _fbp _clck _clsk,,0,6,46,6,10,30,33,11,0,2,ninguno
