id,grupo,sigla,universidad,sitio,codigo,irregularidad,valor_actual,accion_requerida
61,mundo,ANU,Australian National University,https://www.anu.edu.au/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
61,mundo,ANU,Australian National University,https://www.anu.edu.au/,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=OneTrust, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
62,mundo,KU Leuven,KU Leuven,https://www.kuleuven.be/english/,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Si, CMP=OneTrust, TrustArc","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
62,mundo,KU Leuven,KU Leuven,https://www.kuleuven.be/english/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
62,mundo,KU Leuven,KU Leuven,https://www.kuleuven.be/english/,I8,Valor sin tilde en banner_visible_mundo,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
62,mundo,KU Leuven,KU Leuven,https://www.kuleuven.be/english/,I9,Campo multivalor separado por coma,"OneTrust, TrustArc","Sustituir la coma por barra vertical, como ya se hizo en nombres_cookies"
63,mundo,Queensland,The University of Queensland,https://www.uq.edu.au/,I6,Sin clasificacion de rastreo,columna vacia,Aplicar la misma taxonomia de rastreo que en el bloque de Ecuador a partir de los nombres de cookies
63,mundo,Queensland,The University of Queensland,https://www.uq.edu.au/,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=TrustArc, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
64,ecuador,EPN,Escuela Politécnica Nacional,https://www.epn.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
64,ecuador,EPN,Escuela Politécnica Nacional,https://www.epn.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
65,ecuador,ESPOL,Escuela Superior Politécnica del Litoral,https://www.espol.edu.ec,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Sí, CMP=CookieYes","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
65,ecuador,ESPOL,Escuela Superior Politécnica del Litoral,https://www.espol.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
66,ecuador,ESPOCH,Escuela Superior Politécnica de Chimborazo,https://www.espoch.edu.ec,I4,Sin banner en el study pero visible en vivo,"estudio=No detectable, en vivo=Sí, CMP=CookieYes","Decidir si 'No detectable' significa ausencia de banner o fallo del detector; si es lo segundo, recodificar como no determinado"
67,ecuador,ESPAM MFL,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,https://www.espam.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
68,ecuador,ESPE,Universidad de las Fuerzas Armadas ESPE,https://www.espe.edu.ec,I7,Plataforma de consentimiento cargada sin banner visible,"CMP=CookieYes, banner en vivo=No","Ninguna: es un hallazgo del estudio, no un error. Verificar que el manuscrito lo interpreta asi"
68,ecuador,ESPE,Universidad de las Fuerzas Armadas ESPE,https://www.espe.edu.ec,I8,Valor sin tilde en rastreo_ec,Si,Normalizar a 'Si' o a 'Yes' en todas las columnas booleanas del conjunto
69,ecuador,UCE,Universidad Central del Ecuador,https://www.uce.edu.ec,I1,Medicion de cookies ausente,celda vacia,"Repetir la pasada con el mismo protocolo y registrar el resultado, o declarar el sitio como no medido y excluirlo de los denominadores"
69,ecuador,UCE,Universidad Central del Ecuador,https://www.uce.edu.ec,I2,Verificacion en vivo sin completar,Pendiente,Completar la verificacion en vivo o marcar la fila como no verificada de forma explicita
70,ecuador,UCuenca,Universidad de Cuenca,https://www.ucuenca.edu.ec,I3,Lista de nombres de cookies truncada,"declaradas 12, listadas 10",Recuperar los nombres completos del JSON crudo o declarar el limite de 10 en el libro de codigos
