id,grupo,n_grupo,universidad,sigla,sitio,pais,region,tipo,ciudad,cookies_antes_consentir,nombres_cookies,n_nombres_listados,nombres_truncados,rastreo,procedencia_rastreo,cmp_verificacion,banner_verificacion,fuente_verificacion,banner_estudio,polcookies_estudio,nota_documental,revisar
39,ecuador,39,Universidad Laica Vicente Rocafuerte de Guayaquil,ULVR,https://www.ulvr.edu.ec,Ecuador,Ecuador,Cofinanciada,Guayaquil,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Pie solo con contacto y redes; sin política de privacidad/cookies/protección de datos. Transparencia/Información pública presente.,
40,ecuador,40,Universidad Técnica Particular de Loja,UTPL,https://www.utpl.edu.ec,Ecuador,Ecuador,Cofinanciada,Loja,5,_fbp | _ga | _ga_5W6THEE90T | _clck | _clsk,5,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,"PDF normativo (Procuraduría) confirma LOPDP, derechos y definición del DPO. La home requiere JavaScript.",
41,ecuador,41,Universidad UTE,UTE,https://ute.edu.ec,Ecuador,Ecuador,Cofinanciada,Quito,3,burst_uid | _ga_GP7MSYBCD5 | _ga,3,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,Política desactualizada: cita la Ley del Sistema Nacional de Registro de Datos Públicos y NO la LOPDP; sin derechos ni contacto de datos. Accesibilidad referida a espacios físicos.,
42,ecuador,42,Universidad del Azuay,UDA,https://www.uazuay.edu.ec,Ecuador,Ecuador,Cofinanciada,Cuenca,2,_hjSessionUser_3811066 | _hjSession_3811066,2,no,yes,csv_ecuador | taxonomia base confirma,TrustArc,yes,verificacion en vivo,no_detectable,no,Pie sin enlaces de privacidad/cookies. Transparencia (LOTAIP) presente.,
43,ecuador,43,Universidad Politécnica Salesiana,UPS,https://www.ups.edu.ec,Ecuador,Ecuador,Cofinanciada,Cuenca,17,_gid | _gat | _gcl_au | _clck | LFR_SESSION_STATE_20102 | _ga_G3SXTJRVXE | _ga | _fbp | _tt_enable_cookie | _ttp,10,yes,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,"Autorización para el tratamiento cita LOPDP y derechos, pero sin contacto/DPO dedicado.",
44,ecuador,44,Universidad Internacional SEK,UISEK,https://uisek.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,14,pvc_visits[0] | _tt_enable_cookie | _ttp | _gid | _gat_UA-27018080-1 | _gat_gtag_UA_120295323_1 | _ga_XJR5CJJLR4 | _ga | _ga_ES4V2WR0X1 | _gcl_au,10,yes,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,yes,"Reconoce derechos amplios pero solo cita 'normativa vigente', sin nombrar la LOPDP. Remite a una Política de Cookies (URL no hallada).",
45,ecuador,45,Universidad de Especialidades Espíritu Santo,UEES,https://uees.edu.ec,Ecuador,Ecuador,Autofinanciada,Samborondón,17,_gcl_au | _gid | _gat_UA-172180399-2 | _gat_UA-217409406-3 | _fbp | _ga | _tt_enable_cookie | _ttp | _twpid | _clck,10,yes,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,"PDF de política de tratamiento (2024): cita LOPDP (R.O. 459), lista derechos ARCO+portabilidad/suspensión, designa DPO. La página web básica es genérica.",
46,ecuador,46,Universidad San Francisco de Quito,USFQ,https://www.usfq.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,3,_ga_G80CBJM3N2 | _ga | _fbp,3,no,yes,csv_ecuador | taxonomia base confirma,TrustArc,no,verificacion en vivo,no_detectable,no,La página institucional principal devolvió 403; su existencia se confirma por el pie. La evidencia LOPDP/derechos/DPO proviene de la política de la Escuela de Empresas USFQ.,
47,ecuador,47,Universidad de las Américas,UDLA,https://www.udla.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,6,NEXT_LOCALE | rxVisitor | dtSa | dtCookie | rxvt | dtPC,6,no,no,csv_ecuador | taxonomia base confirma,Cookiebot | Usercentrics,yes,verificacion en vivo,no_detectable,no,"Sitio principal renderizado por JS; contenido confirmado vía aviso de UDLA Online: cita LOPDP, lista derechos y da correo de protección de datos.",
48,ecuador,48,Universidad Internacional del Ecuador,UIDE,https://www.uide.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,7,_uetsid | _uetvid | cookieyes-consent | _pin_unauth | tfpsi | _clck | _clsk,7,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,yes,verificacion en vivo,no_detectable,yes,"Política robusta: cita LOPDP y su Reglamento, lista derechos y designa DPO. Sección de Transparencia detectada en el pie.",
49,ecuador,49,Universidad Regional Autónoma de los Andes,UNIANDES,https://www.uniandes.edu.ec,Ecuador,Ecuador,Autofinanciada,Ambato,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,yes,"Política débil y desactualizada: se apoya en la Ley de Comercio Electrónico en lugar de la LOPDP; derechos parciales (acceso, cancelación, oposición). Página de cookies dedicada.",
50,ecuador,50,Universidad del Pacífico Escuela de Negocios,UPACÍFICO,https://upacifico.edu.ec,Ecuador,Ecuador,Autofinanciada,Guayaquil,4,_gcl_au | ma_popup_visitor | _ga_4DXVYNQP5Y | _ga,4,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,"El sitio bloquea WebFetch (robots.txt). No se halló política alguna por búsqueda; resultados reflejan ausencia de evidencia confirmable, no necesariamente inexistencia.",
51,ecuador,51,Universidad Tecnológica Indoamérica,UTI,https://www.indoamerica.edu.ec,Ecuador,Ecuador,Autofinanciada,Ambato,24,pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | _cs_c | _cs_id,10,yes,yes,csv_ecuador | taxonomia base confirma,Cookiebot | CookieYes,no,verificacion en vivo,no_detectable,no,"Política HTML legible cita la Ley de Comercio Electrónico y de Registro de Datos Públicos, NO la LOPDP; menciona derechos. El PDF 2025 titulado LOPDP es imagen no analizable.",
52,ecuador,52,Universidad Casa Grande,Casa Grande,https://www.casagrande.edu.ec,Ecuador,Ecuador,Autofinanciada,Guayaquil,4,_gcl_au | _ga_9X04C12TB4 | _ga | _fbp,4,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,"Política robusta y alineada a LOPDP: derechos ARCO+portabilidad, responsable con RUC y plazo de respuesta. Sin sección de Transparencia (universidad particular).",
53,ecuador,53,Universidad Tecnológica Empresarial de Guayaquil,UTEG,https://www.uteg.edu.ec,Ecuador,Ecuador,Autofinanciada,Guayaquil,16,wp-wpml_current_language | gp_easy_passthrough_session | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | pbid,10,yes,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,Buena cobertura LOPDP: página de protección de datos y política LOPD (PDF); canal dpo@uteg.edu.ec. Declara a UTEG como responsable del tratamiento.,
54,ecuador,54,Universidad Tecnológica Israel,UISRAEL,https://www.uisrael.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,12,pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | pbid | _ga_V27RS2GGDQ,10,yes,yes,csv_ecuador | taxonomia base confirma,Cookiebot | Complianz,yes,verificacion en vivo,no_detectable,yes,"Existen páginas de Política de Privacidad y de Cookies (confirmadas por búsqueda), pero el WAF devuelve 403 a WebFetch; su contenido no fue verificable.",
55,ecuador,55,Universidad de Especialidades Turísticas,UDET,https://www.udet.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,5,_ga_XNE2Q2CKBY | _gid | _gat_gtag_UA_214964925_1 | _ga_EJ3V1JB3S2 | _ga,5,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,Rutas /politica-de-privacidad y /transparencia devuelven 404. Aparente ausencia de instrumentos de privacidad en el sitio oficial.,
56,ecuador,56,Universidad Metropolitana del Ecuador,UMET,https://umet.edu.ec,Ecuador,Ecuador,Autofinanciada,Guayaquil,9,random1 | random2 | random3 | random4 | pll_language | _gcl_au | _ga | _ga_2J1L9P1VMY | _fbp,9,no,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,"Política de Protección de Datos 2025 formalmente adoptada (resolución) y enlazada, pero el visor no expone texto legible por este método.",
57,ecuador,57,Universidad de Otavalo,U. Otavalo,https://www.uotavalo.edu.ec,Ecuador,Ecuador,Autofinanciada,Otavalo,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,no,El dominio bloquea WebFetch y la raíz falla verificación TLS. Búsquedas solo devuelven repositorio académico; ninguna política institucional.,
58,ecuador,58,Universidad San Gregorio de Portoviejo,USGP,https://www.sangregorio.edu.ec,Ecuador,Ecuador,Autofinanciada,Portoviejo,8,_gcl_au | _tt_enable_cookie | _ttp | ttcsid | ttcsid_x | vk | sk | spvc,8,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,"Política de protección de datos cita LOPDP, describe derechos ARCO+portabilidad y designa Delegado con correo dedicado. Sin banner ni política de cookies.",
59,ecuador,59,Universidad de los Hemisferios,U. Hemisferios,https://www.uhemisferios.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,11,PHPSESSID | _ga_ZFRLYLC1Y6 | _ga | _gid | _gat_UA-134045233-1 | _fbp | _gcl_au | __hstc | hubspotutk | __hssrc,10,yes,yes,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,yes,no,"PDF cita LOPDP y artículos específicos (37, 39-41, 46, 76), derechos ARCO+portabilidad y correo de datos. Banner de cookies visible; formulario de ejercicio de derechos.",
60,ecuador,60,Universidad Iberoamericana del Ecuador,UNIB.E,https://unibe.edu.ec,Ecuador,Ecuador,Autofinanciada,Quito,0,,0,no,no,csv_ecuador | taxonomia base confirma,CookieYes,no,verificacion en vivo,no_detectable,yes,Política basada en GDPR (UE) y CCPA (California); ausencia total de referencias a la LOPDP del Ecuador y sin DPO. Enlaces de aviso legal y cookies en el pie.,
61,ecuador,61,Universidad Tecnológica Ecotec,ECOTEC,https://ecotec.edu.ec,Ecuador,Ecuador,Autofinanciada,Samborondón,22,_gcl_au | cmplz_consent_mode | _ga_MFVR4S8MFR | _ga | pll_language | ft_utm_source | ft_utm_medium | ft_landing | ft_referrer | ft_timestamp,10,yes,yes,csv_ecuador | taxonomia base confirma,Complianz,yes,verificacion en vivo,yes,yes,"Política de Privacidad (PDP-POL-001) y Manual Interno: cita LOPDP, derechos ARCO+portabilidad y DPD con correo. Banner de cookies con consentimiento granular.",
62,ecuador,62,Universidad del Río,UDR,https://udr.edu.ec,Ecuador,Ecuador,Autofinanciada,Guayaquil,4,_ga_5HXBYBZBNB | _ga | _ga_8F7QTS9R25 | _ga_WQNLTBSK8V,4,no,yes,csv_ecuador | taxonomia base confirma,Ninguna,no,verificacion en vivo,no_detectable,no,Sitio WordPress con pie mínimo (copyright y WhatsApp). /politica-de-privacidad devuelve 404. Sin políticas ni transparencia detectables.,
